"";"family";"emojis";"n";"url";"descr";"label";"Número de Tweets"
"1";"EmojiOne";"<U+2695>";3911;"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/96/staff-of-aesculapius_2695.png";"Un símbolo que muestra una varilla con una serpiente entrelazada alrededor del exterior en forma de espiral descendente. Asociado con medicamentos y servicios de atención médica como médicos u hospitales. Un símbolo similar y relacionado llamado Caduceo se usa con frecuencia en los Estados Unidos. Medical Symbol fue aprobado como parte de Unicode 4.1 en 2005 con el nombre Staff of Aesculapius y se agregó a Emoji 4.0 en 2016.";"<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/96/staff-of-aesculapius_2695.png' width='25'/>";3911
"2";"OpenSansEmoji";"<U+0001F4F9>";2818;"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/video-camera_1f4f9.png";"Una cámara de video, como una videocámara utilizada para filmar videos caseros en la década de 1980–90. Generalmente se representa como una cámara de video gris o negra con visor, botones de control y lente apuntando a la izquierda. Comúnmente utilizado para diversos contenidos relacionados con películas y videos, así como un ícono para un video, como antes de una carga, enlace o crédito. El diseño de Google es azul y anteriormente presentaba una pantalla plegable. Samsung está equipado con un micrófono. La cámara de video se aprobó como parte de Unicode 6.0 en 2010 y se agregó a Emoji 1.0 en 2015.";"<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/video-camera_1f4f9.png' width='25'/>";2818
"3";"OpenSansEmoji";"<U+0001F637>";2770;"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/face-with-medical-mask_1f637.png";"Una cara amarilla con los ojos cerrados y una máscara quirúrgica blanca, como la que usan los trabajadores de la salud en los hospitales. También se usa para evitar enfermedades o propagar enfermedades transmitidas por el aire. Windows 8.1 representaba una máscara antipolvo, utilizada por los trabajadores de la construcción, cambiada a una máscara médica en Windows 10. En 2020, este emoji se utilizó principalmente en referencia al Coronavirus / COVID-19. Face with Medical Mask se aprobó como parte de Unicode 6.0 en 2010 y se agregó a Emoji 1.0 en 2015.";"<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/face-with-medical-mask_1f637.png' width='25'/>";2770
"4";"OpenSansEmoji";"<U+0001F1F2><U+0001F1FD>";2309;"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/flag-for-mexico_1f1f2-1f1fd.png";"La bandera de México, que puede aparecer como las letras MX en algunas plataformas. La bandera: El emoji de México es una secuencia de los emojis Symbol Símbolo de indicador regional Letra M y emo Símbolo de símbolo de indicador regional X. Estos se muestran como un solo emoji en las plataformas compatibles. Bandera: México se agregó a Emoji 1.0 en 2015.";"<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/flag-for-mexico_1f1f2-1f1fd.png' width='25'/>";2309
"5";"EmojiOne";"<U+26A0>";2196;"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/warning-sign_26a0.png";"Un triángulo con un signo de exclamación dentro, utilizado como advertencia o alerta. La advertencia se aprobó como parte de Unicode 4.0 en 2003 con el nombre Señal de advertencia y se agregó a Emoji 1.0 en 2015.";"<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/warning-sign_26a0.png' width='25'/>";2196
"6";"EmojiOne";"<U+2640>";1764;"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/google/241/female-sign_2640.png";"Un círculo que se muestra con una línea vertical cruzada debajo de él, que se usa como representación para las mujeres. Female Sign se aprobó como parte de Unicode 1.1 en 1993 y se agregó a Emoji 4.0 en 2016.";"<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/google/241/female-sign_2640.png' width='25'/>";1764
"7";"OpenSansEmoji";"<U+0001F4DD>";1604;"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/memo_1f4dd.png";"Un trozo de papel blanco con el texto escrito con un lápiz amarillo, colocado sobre la hoja, con la punta hacia abajo, en un ángulo de 45 °. Comúnmente utilizado para contenido relacionado con varios tipos de documentos y escritos, incluida la firma (en deportes). Los diseños de WhatsApp y Facebook representan un antiguo memorando de oficina en papel rosa. Apple sugiere una nota informal con el huevo de pascua del texto escrito a mano de su campaña publicitaria Crazy Ones / Think Different de 1997–2002: A los locos. Los inadaptados. Los rebeldes. Los alborotadores. Las clavijas redondas en los agujeros cuadrados ... No debe confundirse con <U+0001F4C4> Page Facing Up u otros emojis con hojas de papel. Memo se aprobó como parte de Unicode 6.0 en 2010 y se agregó a Emoji 1.0 en 2015.";"<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/memo_1f4dd.png' width='25'/>";1604
"8";"EmojiOne";"<U+2642>";1418;"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/google/241/male-sign_2642.png";"Un círculo que se muestra con una flecha diagonal que señala la esquina superior derecha, que se usa como representación para los hombres. Male Sign se aprobó como parte de Unicode 1.1 en 1993 y se agregó a Emoji 4.0 en 2016.";"<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/google/241/male-sign_2642.png' width='25'/>";1418
"9";"OpenSansEmoji";"<U+0001F447>";1273;"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/white-down-pointing-backhand-index_1f447.png";"El dedo índice apuntando hacia abajo. El índice de revés apuntando hacia abajo fue aprobado como parte de Unicode 6.0 en 2010 bajo el nombre de Índice de revés apuntando hacia abajo y se agregó a Emoji 1.0 en 2015.";"<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/white-down-pointing-backhand-index_1f447.png' width='25'/>";1273
"10";"OpenSansEmoji";"<U+0001F6A8>";1179;"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/police-cars-revolving-light_1f6a8.png";"Una luz roja giratoria vista en la parte superior de un coche de policía. A menudo se usa en circunstancias de emergencia, además de una sirena que emite un fuerte sonido de advertencia. Police Car Light fue aprobado como parte de Unicode 6.0 en 2010 bajo el nombre de Police Cars Revolving Light y se agregó a Emoji 1.0 en 2015.";"<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/police-cars-revolving-light_1f6a8.png' width='25'/>";1179
"11";"OpenSansEmoji";"<U+0001F92C>";1141;"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/serious-face-with-symbols-covering-mouth_1f92c.png";"Una cara de color rojo enojado con una barra negra y grawlixes blancos cubriendo su boca, lo que indica que está maldiciendo o siendo vulgar. Grawlixes son símbolos tipográficos (p. Ej., @ # $% &amp;!) Que representan malas palabras u obscenidades. A menudo se utiliza para transmitir un estallido de ira, frustración o ira. La mayoría de las plataformas tienen los mismos ojos que en su <U+0001F620> Cara enojada. La cara con símbolos en la boca se aprobó como parte de Unicode 10.0 en 2017 con el nombre Cara seria con símbolos que cubren la boca y se agregó a Emoji 5.0 en 2017.";"<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/serious-face-with-symbols-covering-mouth_1f92c.png' width='25'/>";1141
"12";"OpenSansEmoji";"<U+2705>";1111;"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/white-heavy-check-mark_2705.png";"Una marca de verificación que se muestra con una apariencia de contorno blanco. Se muestra en la mayoría de las plataformas con un rectángulo redondeado verde brillante o un círculo que lo rodea. Android mostró previamente esto como una marca de verificación azul marcada / marca azul. Este emoji no es compatible con los nombres de Twitter, posiblemente en un intento de minimizar la confusión con una marca de verificación verificada. El botón de marca de verificación se aprobó como parte de Unicode 6.0 en 2010 bajo el nombre de Marca de verificación blanca pesada y se agregó a Emoji 1.0 en 2015.";"<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/white-heavy-check-mark_2705.png' width='25'/>";1111
"13";"OpenSansEmoji";"<U+0001F3E1>";1106;"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/house-with-garden_1f3e1.png";"Una casa de aspecto suburbano, con un árbol, una flor o arbustos a su alrededor en el jardín. House with Garden se aprobó como parte de Unicode 6.0 en 2010 y se agregó a Emoji 1.0 en 2015.";"<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/house-with-garden_1f3e1.png' width='25'/>";1106
"14";"OpenSansEmoji";"<U+0001F449>";1035;"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/white-right-pointing-backhand-index_1f449.png";"El dedo índice apuntando hacia la derecha. Backhand Index Pointing Right se aprobó como parte de Unicode 6.0 en 2010 bajo el nombre de White Right Pointing Backhand Index y se agregó a Emoji 1.0 en 2015.";"<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/white-right-pointing-backhand-index_1f449.png' width='25'/>";1035
"15";"EmojiOne";"<U+27A1>";915;"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/black-rightwards-arrow_27a1.png";"Una flecha apuntando a la derecha. Consulte el glosario para obtener información sobre el término negro en los nombres de caracteres unicode. Right Arrow fue aprobado como parte de Unicode 1.1 en 1993 bajo el nombre de Black Rightwards Arrow y se agregó a Emoji 1.0 en 2015.";"<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/black-rightwards-arrow_27a1.png' width='25'/>";915
"16";"OpenSansEmoji";"<U+0001F60E>";868;"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/smiling-face-with-sunglasses_1f60e.png";"Una cara amarilla con una sonrisa amplia y cerrada con gafas de sol negras, como si fueran un par de Wayfarers clásicos. A menudo se utiliza para transmitir la sensación de argot de la calma. También puede expresar una actitud segura y despreocupada o que algo es excelente. <U+0001F913> Nerd Face usa anteojos de forma similar. En Snapchat, este emoji junto a un contacto denota que tienes mejores amigos en común con esta persona. La cara sonriente con gafas de sol se aprobó como parte de Unicode 6.0 en 2010 y se agregó a Emoji 1.0 en 2015.";"<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/smiling-face-with-sunglasses_1f60e.png' width='25'/>";868
"17";"OpenSansEmoji";"<U+0001F64F>";867;"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/person-with-folded-hands_1f64f.png";"Dos manos colocadas firmemente juntas, lo que significa por favor o gracias en la cultura japonesa. Un uso alternativo común para este emoji es para la oración, usando el mismo gesto que las manos orando. Raramente: un choca esos cinco. Una versión anterior de este emoji mostraba un estallido de luz amarilla detrás de las dos manos en iOS. Android una vez mostró un carácter de burbuja con los ojos cerrados y las manos juntas. Manos plegables se aprobó como parte de Unicode 6.0 en 2010 bajo el nombre de Persona con manos plegadas y se agregó a Emoji 1.0 en 2015.";"<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/person-with-folded-hands_1f64f.png' width='25'/>";867
"18";"OpenSansEmoji";"<U+274C>";851;"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/cross-mark_274c.png";"Una gran marca de cruz roja, que se muestra en forma de una letra X y similar a un signo de multiplicación. Cross Mark fue aprobado como parte de Unicode 6.0 en 2010 y agregado a Emoji 1.0 en 2015.";"<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/cross-mark_274c.png' width='25'/>";851
"19";"OpenSansEmoji";"<U+0001F539>";758;"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/small-blue-diamond_1f539.png";"Small Blue Diamond se aprobó como parte de Unicode 6.0 en 2010 y se agregó a Emoji 1.0 en 2015.";"<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/small-blue-diamond_1f539.png' width='25'/>";758
"20";"OpenSansEmoji";"<U+0001F633>";734;"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/flushed-face_1f633.png";"Una cara amarilla con cejas arqueadas, una boca pequeña y cerrada, ojos grandes y blancos mirando al frente y mejillas sonrojadas. Pretendía representar sentimientos como la vergüenza, pero el significado varía mucho. Otros sentidos incluyen adulación, sorpresa, incredulidad, admiración, afecto y emoción. El diseño de Google anteriormente presentaba una expresión más tímida y Samsung, una más vergonzosa. Flushed Face se aprobó como parte de Unicode 6.0 en 2010 y se agregó a Emoji 1.0 en 2015. <U+0001F6A9> La apariencia difiere enormemente entre plataformas. Usar con precaución.";"<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/flushed-face_1f633.png' width='25'/>";734
"21";"OpenSansEmoji";"<U+0001F6AB>";727;"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/no-entry-sign_1f6ab.png";"Un círculo rojo con una línea diagonal a través del medio, de arriba a la izquierda a la derecha a la izquierda, se usa para indicar que algo no está permitido. Comúnmente se muestra junto con otros símbolos para indicar No fumar, No bicicletas o similar. Prohibido se aprobó como parte de Unicode 6.0 en 2010 con el nombre Sin signo de entrada y se agregó a Emoji 1.0 en 2015.";"<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/no-entry-sign_1f6ab.png' width='25'/>";727
"22";"OpenSansEmoji";"<U+0001F447>";688;"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/white-down-pointing-backhand-index_1f447.png";"El dedo índice apuntando hacia abajo. El índice de revés apuntando hacia abajo fue aprobado como parte de Unicode 6.0 en 2010 bajo el nombre de Índice de revés apuntando hacia abajo y se agregó a Emoji 1.0 en 2015.";"<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/white-down-pointing-backhand-index_1f447.png' width='25'/>";688
"23";"OpenSansEmoji";"<U+0001F609>";657;"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/winking-face_1f609.png";"Una cara amarilla con una leve sonrisa mostrada parpadeando, generalmente su ojo izquierdo. Puede indicar una broma, coqueteo, significado oculto o positividad general. El tono varía, incluyendo juguetón, cariñoso, sugerente o irónico. No debe confundirse con los más traviesos o sexuales Face Smirking Face. Una forma emoji del emoticón;). Winking Face se aprobó como parte de Unicode 6.0 en 2010 y se agregó a Emoji 1.0 en 2015.";"<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/winking-face_1f609.png' width='25'/>";657
"24";"EmojiOne";"<U+2714>";652;"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/heavy-check-mark_2714.png";"Una marca de verificación gruesa (pesada) que se muestra en algunas plataformas en un estilo escrito a mano. Generalmente se muestra en negro en la mayoría de las plataformas, excepto Android (azul), Windows (verde) y Samsung (rojo). Este emoji no es compatible con los nombres de Twitter, posiblemente en un intento de minimizar la confusión con una marca de verificación verificada. La marca de verificación fue aprobada como parte de Unicode 1.1 en 1993 bajo el nombre de marca de verificación pesada y se agregó a Emoji 1.0 en 2015.";"<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/heavy-check-mark_2714.png' width='25'/>";652
"25";"OpenSansEmoji";"<U+0001F600>";626;"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/grinning-face_1f600.png";"Una cara amarilla con ojos simples y abiertos y una sonrisa amplia y abierta, que muestra los dientes superiores y la lengua en algunas plataformas. A menudo transmite placer general y buen ánimo o humor. No debe confundirse con <U+0001F603> Cara sonriente con ojos grandes o Face Cara sonriente con ojos sonrientes, que tienen las mismas sonrisas pero formas de ojos más expresivas. Este emoji tiene una variante de gato, in Grinning Cat Face. Grinning Face se aprobó como parte de Unicode 6.1 en 2012 y se agregó a Emoji 1.0 en 2015.";"<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/grinning-face_1f600.png' width='25'/>";626
"26";"OpenSansEmoji";"<U+0001F4A1>";617;"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/electric-light-bulb_1f4a1.png";"Una bombilla, como atornillada en una lámpara para iluminar una habitación. Representado como una bombilla incandescente con una base plateada, a menudo se muestra con filamento y un suave resplandor amarillo-blanco. Comúnmente utilizado para representar ideas (como sobre una cabeza en una caricatura), pensar y aprender, a menudo junto con <U+0001F914> Thinking Face o <U+0001F4AD> Thought Balloon. También puede representar varios sentidos de luz y brillo. Light Bulb se aprobó como parte de Unicode 6.0 en 2010 bajo el nombre de Electric Light Bulb y se agregó a Emoji 1.0 en 2015.";"<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/electric-light-bulb_1f4a1.png' width='25'/>";617
"27";"OpenSansEmoji";"<U+0001F3C6>";611;"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/trophy_1f3c6.png";"Un trofeo otorgado como reconocimiento de logros, generalmente en deportes. El trofeo emoji es una copa de oro, con un grabado en la parte inferior que detalla el premio. En Snapchat, el trofeo proporciona acceso al Trofeo para desbloquear logros de emoji. Trophy se aprobó como parte de Unicode 6.0 en 2010 y se agregó a Emoji 1.0 en 2015.";"<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/trophy_1f3c6.png' width='25'/>";611
"28";"EmojiOne";"<U+2B07>";576;"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/downwards-black-arrow_2b07.png";"Una flecha apuntando hacia abajo. Consulte el glosario para obtener información sobre el término negro en los nombres de caracteres unicode. La flecha hacia abajo fue aprobada como parte de Unicode 4.0 en 2003 bajo el nombre de Flecha negra hacia abajo y se agregó a Emoji 1.0 en 2015.";"<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/downwards-black-arrow_2b07.png' width='25'/>";576
"29";"OpenSansEmoji";"<U+0001F3E0>";575;"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/house-building_1f3e0.png";"Una casa, también conocida como hogar cuando alguien vive en ella. Adecuado para una pareja o familia numerosa, otros quizás compañeros de casa. A diferencia de un edificio de apartamentos debido a su forma separada, es probable que esta casa se encuentre en las afueras de una ciudad o una zona rural. House fue aprobado como parte de Unicode 6.0 en 2010 bajo el nombre de House Building y se agregó a Emoji 1.0 en 2015.";"<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/house-building_1f3e0.png' width='25'/>";575
"30";"OpenSansEmoji";"<U+0001F926>";504;"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/face-palm_1f926.png";"Una mano que se muestra presionando contra la cabeza de una persona, comúnmente escrita como facepalm. Se usa para mostrar frustración o vergüenza ante la ineptitud de una persona o situación. Puede usarse en un contexto similar al acrónimo SMH (sacudiendo mi cabeza), o en relación con el meme Picard Facepalm. Person Facepalming fue aprobado como parte de Unicode 9.0 en 2016 bajo el nombre Face Palm y se agregó a Emoji 3.0 en 2016. <U+0001F6A9> Anteriormente mostró una apariencia de género; La mayoría de las plataformas cambiaron a un diseño con inclusión de género para este emoji en 2019.";"<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/face-palm_1f926.png' width='25'/>";504
